电影名称,上映年份,评分,地区,简介
禁闭岛,2010,8.6,美国,昔日翩翩少年，今日大腹便便。
致命ID,2003,8.6,美国,最不可能的那个人永远是最可能的。
告白,2010,8.6,日本,没有一人完全善，也没有一人完全恶。
一一,2000,8.9,台湾 日本,我们都曾经是一一。
加勒比海盗,2003,8.6,美国,约翰尼·德普的独角戏。
爱在黎明破晓前,1995,8.7,美国 奥地利 瑞士,缘分是个连绵词，最美不过一瞬。
狩猎,2012,9,丹麦 瑞典,人言可畏。
布达佩斯大饭店,2014,8.7,美国 德国 英国,小清新的故事里注入了大历史的情怀。
阿凡达,2009,8.6,美国 英国,绝对意义上的美轮美奂。
断背山,2005,8.6,美国 加拿大,每个人心中都有一座断背山。
风之谷,1984,8.8,日本,动画片的圣经。
萤火虫之墓,1988,8.7,日本,幸福是生生不息，却难以触及的远。 
摩登时代,1936,9.2,美国,大时代中的人生，小人物的悲喜。
爱在日落黄昏时,2004,8.7,美国,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
猫鼠游戏,2002,8.7,美国 加拿大,骗子大师和执著警探的你追我跑故事。 
侧耳倾听,1995,8.8,日本,少女情怀总是诗。
末代皇帝,1987,8.8,意大利 中国大陆 英国 法国,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
驯龙高手,2010,8.7,美国,和谐的生活离不开摸头与被摸头。
哈利·波特与魔法石,2001,8.6,美国 英国,童话世界的开端。
超脱,2011,8.7,美国,穷尽一生，我们要学会的，不过是彼此拥抱。
疯狂动物城,2016,9.2,美国,none
海洋,2009,9,法国 瑞士 西班牙 美国 阿联酋,大海啊，不全是水。
幸福终点站,2004,8.6,美国,有时候幸福需要等一等。 
穿条纹睡衣的男孩,2008,8.8,英国 美国,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
燃情岁月,1994,8.8,美国,传奇，不是每个人都可以拥有。
菊次郎的夏天,1999,8.7,日本,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
